,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
1a30,8.310174379285654,1364.3660556852465,40.54145188432738,35.10762711021078,12.107627110210778,20.96089530072662,16.98709512810514,5.751027150605348,3.617104755512677,3.617104755512677,1.7720282630288888,1.7720282630288888,0.9416311506400851,0.9416311506400851,109.19776268446452,39.292268104881224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.73286440270496,373.14961185582064,0.8461538461538461,1.4230769230769231,1.8846153846153846,0.6666666666666666,-2.6900000000000004,26.0,350.1780000000001,1091886820.6691604,5.651364116570897,11.027945139856369,9.56822597918942,182.08297211546903,13.52432178812883,0.5501673201883103,13.52432178812883,0.34466906170478123,1.97200751133787,0.34466906170478123,-5.501104497354499,-0.5501673201883103,-5.9674,78.86450000000004,373.3619999999997,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,11.0,0.0,15.0,0.0,0.0,0.0,148.0,46.03556216832265,7.3886510245198656,8.841576625006047,5.907179729351506,5.907179729351506,4.235526234984602,9.589074368143644,0.0,0.0,0.0,13.703784234591359,18.639807488021837,45.24583872111578,14.728714868641934,0.0,76.73787423259448,29.72227532255856,0.0,10.619626706576751,5.893957685363079,57.249161244957804,0.0,0.0,0.0,0.0,31.651950616107186,0.0,0.0,0.0,47.77595272760749,23.97268592035911,5.893957685363079,63.86913785097289,0.0,7.059210391641003,0.0,0.0,206.23,0.0,0.0,0.0,0.0,0.0,175.58760721112705,0.0,0.0,0.0,21.745726122206282,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2991433666572374
1bcu,2.6658025910696703,1029.0187431849038,20.367360819030935,18.841640786499873,7.841640786499875,12.500682875346946,9.68328157299975,4.394427190999917,3.1312305898749058,3.1312305898749058,2.0326237921249266,2.0326237921249266,1.3590169943749466,1.3590169943749466,53.671703503010185,0.0,0.0,33.245283815614656,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,15.242678206504344,209.095297352,0.75,1.3125,1.8125,0.0,-2.29,16.0,198.164,654038.91331661,3.1044221957178073,3.100246549005887,1.3358058857067674,108.38106358873858,8.328374905517762,0.39866532629934587,8.328374905517762,0.15621693123014588,0.011073265726043502,0.15621693123014588,-0.6287165112958768,-0.39866532629934587,2.5524000000000004,68.07380000000002,209.2520000000001,4.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,78.0,11.439433951452546,0.0,5.6473683133128025,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,12.08483741532659,30.212093538316473,22.147220978296716,20.62871132842406,3.0,15.242678206504344,33.18062241352924,0.0,4.9839785209472085,0.0,0.0,11.439433951452546,42.29693095364306,0.0,0.0,11.439433951452546,11.374772549367124,0.0,0.0,4.9839785209472085,0.0,0.0,9.59530989319154,42.29693095364306,5.6473683133128025,21.805849864162113,0.0,64.92999999999999,0.0,0.0,0.0,0.0,0.0,85.88715471991266,0.0,0.0,0.0,-2.2204880532459876,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4414472626928827
1c5z,3.7622628051196374,491.1328154769169,14.196152422706632,13.394427190999917,4.394427190999916,8.196152422706634,6.486067977499792,2.197213595499958,1.323606797749979,1.323606797749979,0.723606797749979,0.723606797749979,0.3618033988749895,0.3618033988749895,41.611164815770735,0.0,0.0,11.115050080081884,0.0,0.0,0.0,0.0,0.0,0.0,12.501161094163905,121.07602470808999,1.4444444444444444,2.111111111111111,2.6666666666666665,0.0,-1.31,9.0,112.091,5882.28040501187,1.2355658662653588,2.306763635550358,1.2877050319358112,66.69854796063477,7.5724074074074075,0.30159985021816643,7.5724074074074075,0.30159985021816643,0.14492819349962183,0.28704027223636625,-0.7574074074074069,-0.28704027223636625,-0.849,36.66379999999999,121.16299999999995,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,5.835619785757269,5.6473683133128025,11.115050080081884,0.0,0.0,0.0,18.127256122989884,12.08483741532659,0.0,12.417244272548094,1.0,17.896494198519513,5.835619785757269,0.0,0.0,5.719716975726273,0.0,0.0,35.77554503001347,0.0,0.0,11.115050080081884,0.0,0.0,0.0,5.835619785757269,0.0,0.0,12.417244272548094,30.212093538316473,5.6473683133128025,0.0,0.0,51.61,0.0,0.0,0.0,0.0,0.0,65.47640967498111,0.0,0.0,0.0,-4.809743008314434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3688699104988422
1e66,2.4224469681080154,1511.4633430157257,31.13531001146206,29.27239166400914,11.028320610027599,17.717990804895837,15.254229820754468,6.237767102763778,4.346606028629541,4.724570501638768,3.0646149103772338,3.253597146881847,2.198743959025556,2.3354927900142886,106.75426349948549,1.3707585561702202,0.0,5.719716975726273,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,36.35676094561244,298.1236762880005,1.3333333333333333,2.2857142857142856,3.142857142857143,0.3888888888888889,-1.5399999999999996,21.0,279.66499999999996,122437729.03943887,3.8578703981007743,4.739031868520165,2.044481261350855,156.3696390140649,9.255708914224126,0.39789344155837686,9.255708914224126,0.15624780440453098,0.34608264833711244,0.15624780440453098,-3.871423431769827,-0.39789344155837686,4.856500000000003,88.70840000000003,298.8169999999996,2.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,108.0,5.719716975726273,0.0,2.8236841566564013,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,30.078008283633032,55.40687109903356,45.17348451964803,10.999734942297142,4.0,26.126579611550138,28.191251096997135,0.0,4.9839785209472085,5.893957685363079,38.237549407976275,5.719716975726273,46.0324451993815,0.0,0.0,5.719716975726273,5.687386274683562,0.0,11.600939890232516,4.9839785209472085,6.372924901329379,5.893957685363079,66.42489944808614,29.752432399094715,7.846317470397728,10.902924932081056,0.0,38.91,0.0,5.96182516318326,0.0,0.0,0.0,159.5694230315466,0.0,0.0,0.0,-34.33680375028544,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7638693503355111
1eby,1.8562330349458198,3351.5817576316504,68.40844822442881,63.160413514710825,23.16041351471082,39.66197818427893,32.2130889961746,12.68566864331923,8.664118683922352,8.664118683922352,5.700001202986462,5.700001202986462,3.6448811475434484,3.6448811475434484,238.9579452402918,11.048235493677721,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,20.43523276442885,53.57976410929683,652.2784662400011,0.5833333333333334,0.9375,1.3125,0.3157894736842105,-4.419999999999999,48.0,612.4240000000001,2.5485841720387463e+20,10.069947079535568,15.205677606888816,7.495049717277685,335.18862137098364,15.740609503034248,0.3902752405876739,15.740609503034248,0.2520434088172884,1.3560527516503875,0.2520434088172884,-5.919631335667368,-0.3902752405876739,2.427999999999998,176.12459999999965,652.7440000000016,6.0,10.0,2.0,0.0,2.0,4.0,0.0,4.0,8.0,6.0,10.0,0.0,17.0,0.0,0.0,0.0,250.0,40.528585378605705,12.160036053899976,14.983720210556378,5.724798628930537,11.814359458703011,0.0,9.589074368143644,0.0,0.0,0.0,108.76353673793935,33.380708950181976,18.22888402733964,78.43654816153845,6.0,88.92750810661646,11.814359458703011,5.724798628930537,10.619626706576751,0.0,74.37971338689054,0.0,142.14424568812134,0.0,0.0,10.619626706576751,0.0,0.0,0.0,74.45449901376234,44.92662056423507,0.0,92.0222847966687,108.76353673793935,2.8236841566564013,0.0,0.0,157.57999999999998,0.0,0.0,0.0,0.0,0.0,347.82527099286693,0.0,0.0,0.0,-50.49193765953343,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12864999549152015
1g2k,2.2903901048331408,3374.5730490151627,63.99423466205572,58.60762711021078,22.424123691138504,36.784022236676044,29.73270168455452,12.865954918133726,7.59910983418181,9.225073451195474,4.824771536004697,6.295377519880894,2.964015391564691,4.242409754781079,230.31542556823752,21.24363985811446,8.417796984328938,0.0,0.0,0.0,0.0,0.0,0.0,10.217616382214425,43.90465553613843,631.235221524001,0.7111111111111111,1.1333333333333333,1.6,0.2647058823529412,-4.259999999999999,45.0,594.4550000000003,6.35752513528421e+16,9.629583058566707,14.679895947304754,7.6995385205292175,315.40434437333664,16.606030766505143,0.4918157849035441,16.606030766505143,0.2830331363802538,1.0038607548821155,0.2830331363802538,-8.219704585537919,-0.4918157849035441,3.2258000000000013,169.7435999999996,631.7510000000017,3.0,10.0,0.0,1.0,1.0,4.0,0.0,4.0,7.0,3.0,11.0,0.0,14.0,0.0,1.0,1.0,236.0,25.001155643102898,36.77703020630036,1.4118420783282006,2.8623993144652684,16.11650889974917,0.0,4.794537184071822,0.0,17.028228966921404,0.0,78.55144319962284,47.38141522937376,35.12830765380268,49.04626595329526,5.0,80.921309446331,16.11650889974917,2.8623993144652684,13.920245335880843,0.0,37.18954035923115,20.093797386114822,131.49630992069365,0.0,11.49902366656781,14.783539260888475,0.0,11.49902366656781,0.0,80.30504276966671,23.203048539029552,0.0,68.09068256895036,114.80595544560265,1.4118420783282006,0.0,0.0,128.64000000000001,0.0,-8.219704585537919,0.0,0.0,0.0,321.3980399120503,0.0,0.0,29.513541977377855,-62.85854397055695,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23198284591399426
1gpk,3.021223265064301,1325.1301964626778,29.273502691896258,27.80267548146378,8.80267548146378,16.190169358562926,14.163798920481701,4.874944538481868,3.72597295765842,3.72597295765842,2.6424949760166836,2.6424949760166836,1.908475209268955,1.908475209268955,95.74709504913858,4.794537184071822,0.0,4.977003270229252,0.0,0.0,0.0,0.0,0.0,0.0,26.208746655866097,243.14918964809,1.6666666666666667,2.611111111111111,3.388888888888889,0.4,-1.6099999999999999,18.0,224.17799999999994,18949073.660975285,2.7768042343839516,3.6894449577614283,1.4358038542898122,133.33768270218084,12.480965608465606,0.34506314847296965,12.480965608465606,0.34506131104984605,0.38607520786092264,0.34506131104984605,-3.9693376795162507,-0.34506314847296965,1.2807,70.95380000000002,243.33000000000013,4.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,94.0,10.68974499523757,5.538925252383345,1.4118420783282006,5.559266895052008,0.0,4.235526234984602,4.794537184071822,0.0,0.0,0.0,17.6772480221404,31.6922323736533,44.64502489877366,5.483034224680881,3.0,31.92148838087441,0.0,0.0,4.977003270229252,5.893957685363079,31.988559289633464,0.0,56.94637353320554,0.0,0.0,11.272008620060326,0.0,0.0,0.0,4.977003270229252,11.911850153712724,5.893957685363079,51.895466965019544,40.12972715160807,5.6473683133128025,0.0,0.0,60.5,0.0,0.0,0.0,0.0,0.0,156.2886907123961,0.0,0.0,0.0,-28.288690712396082,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.662515320573729
1gpn,2.622993533655568,1453.5938882366759,31.618802153517006,30.30267548146378,9.30267548146378,17.413460352255527,15.690192122731723,5.348551336231847,4.074579755408399,4.074579755408399,2.9845034732041564,2.9845034732041564,2.2504837064564285,2.2504837064564285,106.97379347586721,7.536054296412263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.167663133708118,257.16483971209004,1.4736842105263157,2.4210526315789473,3.3157894736842106,0.5625,-1.35,19.0,236.18899999999994,82500552.67533219,2.8206108613913745,3.825397329793695,1.5098152163924417,142.34825254992504,12.639897250566891,0.34658816553455796,12.639897250566891,0.34658816553455796,0.47379960317460323,0.3370615072165501,-4.391791383219956,-0.3370615072165501,1.0658999999999996,73.82510000000002,257.3570000000001,3.0,3.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,100.0,10.279841372799673,5.538925252383345,1.4118420783282006,5.559266895052008,0.0,2.8236841566564013,4.794537184071822,0.0,0.0,0.0,11.625176276104835,37.90704321431019,47.38654201111411,13.350652465167045,4.0,34.212018348618976,0.0,0.0,4.977003270229252,11.787915370726157,37.88251697499654,6.496859684315945,45.32119725710071,0.0,0.0,10.862104997622428,0.0,0.0,0.0,11.473862954545197,11.911850153712724,11.787915370726157,61.90170031889329,28.50455087550324,4.235526234984602,0.0,0.0,49.47,0.0,0.0,0.0,0.0,0.0,179.56939774134963,0.0,0.0,0.0,-41.152731074682976,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6710411704487238
1h22,2.0226997012275745,2752.0624084583005,62.928203230275514,60.60535096292756,16.60535096292756,33.52350269189627,30.630384245463443,8.947102672463696,5.675552713066819,5.675552713066819,3.571096749783345,3.571096749783345,2.2478521179754045,2.2478521179754045,192.61310326339,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.55987760443761,468.3453294881813,0.7058823529411765,1.1176470588235294,1.5588235294117647,0.6428571428571429,-2.18,34.0,424.33400000000023,547150569162968.25,4.865109091657133,13.05382369780141,7.158887732107858,265.07489940765186,12.713837758376476,0.3463337825843414,12.713837758376476,0.3463337825843414,0.7542575582469926,0.3400101454445638,-5.5191568794838455,-0.3400101454445638,2.7658000000000023,136.00419999999997,468.6859999999994,6.0,6.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,4.0,6.0,0.0,13.0,0.0,0.0,0.0,186.0,20.559682745599346,14.77730204903973,2.8236841566564013,11.118533790104014,0.0,5.6473683133128025,9.589074368143644,0.0,0.0,0.0,25.491699605317518,63.06823662596162,85.7266857638424,23.959787817993647,4.0,71.16555380957844,0.0,0.0,9.954006540458504,0.0,101.25673355531062,12.99371936863189,67.39204196199175,0.0,0.0,21.724209995244856,0.0,0.0,0.0,22.947725909090394,12.745849802658759,0.0,163.114467860211,33.75874919879682,8.471052469969203,0.0,0.0,98.93999999999998,0.0,0.0,0.0,0.0,0.0,375.9418208460211,0.0,0.0,0.0,-95.7751541793544,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34002040453123783
1h23,1.996883633007673,2956.6225376752977,67.92820323027551,65.60535096292756,17.60535096292756,36.02350269189626,33.13038424546344,9.447102672463695,5.925552713066818,5.925552713066818,3.696096749783345,3.696096749783345,2.3103521179754045,2.3103521179754045,205.35895306604877,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0429118291185,496.37662961618133,0.6666666666666666,1.0555555555555556,1.4722222222222223,0.6666666666666666,-2.18,36.0,448.35600000000034,6.9809104747111496e+16,5.063539712736755,14.531812437586161,8.170951119529319,283.4246656371168,12.735931033712305,0.3463337825843414,12.735931033712305,0.3463337825843414,0.7718863249001293,0.3400101454445638,-5.583729918300124,-0.3400101454445638,3.546000000000001,145.23819999999984,496.73999999999944,6.0,6.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,4.0,6.0,0.0,15.0,0.0,0.0,0.0,198.0,20.559682745599346,14.77730204903973,2.8236841566564013,11.118533790104014,0.0,5.6473683133128025,9.589074368143644,0.0,0.0,0.0,38.237549407976275,63.06823662596162,91.20971998852326,23.959787817993647,4.0,76.64858803425929,0.0,0.0,9.954006540458504,0.0,114.00258335796939,12.99371936863189,67.39204196199175,0.0,0.0,21.724209995244856,0.0,0.0,0.0,22.947725909090394,12.745849802658759,0.0,181.34335188755063,33.75874919879682,8.471052469969203,0.0,0.0,98.93999999999998,0.0,0.0,0.0,0.0,0.0,410.5595873275632,0.0,0.0,0.0,-107.89292066089648,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2836632330749187
