,Energy (kcal/mol)
10gs,96.70811
11gs,176.28747
13gs,-43.51586
16pk,422.56142
184l,22.3827
185l,15.11179
186l,18.3856
187l,20.73783
188l,23.10438
1a07,22.76943
1a08,312.34267
1a09,78.11632
1a0q,80.25307
1a0t,420.1652
1a1b,79.46817
1a1c,90.00121
1a1e,86.93466
1a28,73.73413
1a2c,-64.24806
1a30,2.55589
1a37,-7.23669
1a3e,235.74881
1a42,-28.5619
1a46,265.67252
1a4g,-145.45547
1a4h,73.26967
1a4k,-3.00742
1a4m,82.31678
1a4q,0.74991
1a4r,-237.57792
1a4w,-127.45442
1a50,-43.4272
1a52,58.4223
1a5g,107.50064
1a5h,61.74687
1a5v,-58.6374
1a61,100.53652
1a69,36.72649
1a7c,80.47949
1a7t,14.99242
1a7x,193.65377
1a85,-10.84124
1a86,14.90099
1a8i,29.43471
1a8t,35.77784
1a94,-65.29354
1a99,53.31234
1a9m,-195.77823
1a9q,-7.61118
1a9u,61.15634
1aaq,86.69259
1abf,75.73101
1abt,148.60451
1acj,43.5312
1ad8,192.12558
1add,119.73718
1adl,36.26244
1ado,-57.59834
1af2,-16.30547
1af6,209.79106
1afk,170.79922
1afl,150.53474
1ag9,-41.59179
1agm,308.29513
1agw,88.34124
1aht,19.74256
1ahx,17.51837
1ahy,67.77918
1ai4,32.0184
1ai5,75.3859
1ai6,35.77889
1ai7,5.71321
1aid,77.67277
1aj6,132.80766
1aj7,85.22037
1ajn,76.10733
1ajp,25.32764
1ajq,35.28473
1ajv,-22.65169
1ajx,82.88759
1akq,-20.4124
1akr,-20.81023
1akt,-20.82678
1aku,-41.30236
1akv,-41.27774
1akw,-20.45137
1al7,79.09242
1al8,-28.91075
1alw,69.90378
1amk,107.37098
1amn,114.64441
1amw,5.87483
1anf,172.53375
1ao0,57.37991
1ao8,-96.98601
1apb,66.38894
1apv,119.14799
1apw,100.03227
1aq1,198.1392
1aq7,-203.10266
1aqc,120.54614
1aqi,72.97925
1aqj,79.00771
1at5,183.24585
1at6,182.64616
1atl,69.75091
1atr,49.99785
